nombre,direccion,telefono,web,email,tipo,ciudad,lat,lon
Don Oso,"Calle de Donoso Cortés, 90, 28015, Madrid",,No,,Restaurante,Madrid,40.4366465,-3.7163184
McDonald's,Madrid,,No,,Restaurante,Madrid,40.4164064,-3.7049818
McDonald's,"Calle de Atocha, 127, 28012, Madrid",,No,,Restaurante,Madrid,40.4096055,-3.6926831
Burger King,"Calle de Esparteros, 3, 28012, Madrid",,No,,Restaurante,Madrid,40.4160273,-3.7050598
KFC,Madrid,,No,,Restaurante,Madrid,40.4164854,-3.704493
opera:pizza,"Calle del Arenal, 23, 28013, Madrid",,No,,Restaurante,Madrid,40.4177493,-3.7089054
Pans & Company,Madrid,,No,,Restaurante,Madrid,40.4202714,-3.7029282
Burger King,"Gran Vía, 40, 28013, Madrid",,https://www.burgerking.es,,Restaurante,Madrid,40.4204138,-3.7049789
Rodilla,Madrid,,No,,Restaurante,Madrid,40.4194819,-3.7058085
Kebab Grill & Pizza,"Costanilla de los Ángeles, 16, 28013, Madrid",,No,,Restaurante,Madrid,40.4193473,-3.7080096
McDonald's,Madrid,,No,,Restaurante,Madrid,40.4474516,-3.7041101
Burger King,"Calle de Bravo Murillo, 222, 28020",,No,,Restaurante,Madrid,40.457912,-3.7009192
McDonald's,"Calle de Bravo Murillo, 274, 28020",,No,,Restaurante,Madrid,40.460783,-3.6981353
Telepizza,Madrid,,No,,Restaurante,Madrid,40.432857,-3.6797613
Burger King,Madrid,,No,,Restaurante,Madrid,40.4344125,-3.6745991
