nombre,direccion,telefono,web,email,tipo,ciudad,lat,lon
"Librería ""Arranca Thelma""",Madrid,,No,,Tienda,Madrid,40.4135438,-3.7126525
Estanco,Madrid,,No,,Tienda,Madrid,40.4467104,-3.7136781
Dia,"Calle de Juan Montalvo, 21, 28040, Madrid",,No,,Tienda,Madrid,40.4471184,-3.7119678
Quiosco Prado,Madrid,,No,,Tienda,Madrid,40.4093955,-3.6917429
Alcampo,Madrid,,No,,Tienda,Madrid,40.4110395,-3.6967784
Alimentacion Anna,Madrid,,No,,Tienda,Madrid,40.4110728,-3.6968537
Casa Pajuelo,Madrid,,No,,Tienda,Madrid,40.4109761,-3.6961428
Alimentación Mantequería,"Calle de Fúcar, 1",,No,,Tienda,Madrid,40.4125053,-3.695567
Dia,"Calle de las Huertas, Madrid",,No,,Tienda,Madrid,40.4129173,-3.6953428
La Feria del Mar,Madrid,,No,,Tienda,Madrid,40.4044125,-3.7022852
